"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","2","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowTableMatcherTest","rowTableMatcherTest",""
"skipped","Fri Oct 28 09:35:56 GMT 2022","Fri Oct 28 09:35:56 GMT 2022","7","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","3","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowMatcherTest","rowMatcherTest",""
"broken","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","0","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","before","before",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","5","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableChainTest","tableChainTest",""
"broken","Fri Oct 28 09:35:56 GMT 2022","Fri Oct 28 09:36:04 GMT 2022","7446","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","menuTest","menuTest",""
"skipped","Fri Oct 28 09:35:56 GMT 2022","Fri Oct 28 09:35:56 GMT 2022","5","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","2","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowTableMatcherSingleTest","rowTableMatcherSingleTest",""
"broken","Fri Oct 28 09:35:29 GMT 2022","Fri Oct 28 09:35:56 GMT 2022","27308","Test suite","Tests","org.mytests.tests.example.MenuTests","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","tableParamsTest","tableParamsTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataColumnTestIndex","dataColumnTestIndex",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","6","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","previewTest","previewTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","7","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataColumnNameTest","dataColumnNameTest",""
"skipped","Fri Oct 28 09:35:54 GMT 2022","Fri Oct 28 09:35:55 GMT 2022","29","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest","lineByIndexTest",""
"broken","Fri Oct 28 09:35:59 GMT 2022","Fri Oct 28 09:36:05 GMT 2022","6221","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","2","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","commonMatchersTest","commonMatchersTest",""
"broken","Fri Oct 28 09:36:05 GMT 2022","Fri Oct 28 09:36:11 GMT 2022","6146","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","loginTest","loginTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","8","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","allDataFilterTest","allDataFilterTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","6","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","atLeastTest","atLeastTest",""
"broken","Fri Oct 28 09:35:29 GMT 2022","Fri Oct 28 09:35:59 GMT 2022","30149","Test suite","Tests","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","4","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","dataFilterTest","dataFilterTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","3","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","exactMatcherTest","exactMatcherTest",""
"skipped","Fri Oct 28 09:35:55 GMT 2022","Fri Oct 28 09:35:55 GMT 2022","30","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineByNameTest","lineByNameTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","noRowsTest","noRowsTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","valueTest","valueTest",""
"skipped","Fri Oct 28 09:35:55 GMT 2022","Fri Oct 28 09:35:55 GMT 2022","2","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","linesFilterTest","linesFilterTest",""
"skipped","Fri Oct 28 09:35:56 GMT 2022","Fri Oct 28 09:35:56 GMT 2022","6","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","8","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowsAllTest","rowsAllTest",""
"skipped","Fri Oct 28 09:35:55 GMT 2022","Fri Oct 28 09:35:55 GMT 2022","8","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineFilterTest","lineFilterTest",""
"broken","Fri Oct 28 09:35:56 GMT 2022","Fri Oct 28 09:35:56 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","openPerformancePage","openPerformancePage",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","5","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataMatcherTest","rowDataMatcherTest",""
"broken","Fri Oct 28 09:35:54 GMT 2022","Fri Oct 28 09:35:54 GMT 2022","2","Test suite","Tests","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","before","before",""
"skipped","Fri Oct 28 09:36:00 GMT 2022","Fri Oct 28 09:36:00 GMT 2022","1","Test suite","Tests","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataExactMatcherTest","rowDataExactMatcherTest",""
"skipped","Fri Oct 28 09:35:56 GMT 2022","Fri Oct 28 09:35:56 GMT 2022","9","Test suite","Tests","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest",""
